PixelX,PixelY,CalibX,CalibY
118,374,-18.2609,-0.95122
125,380,-16.4348,-1.03902
129,389,-15.3913,-1.17073
133,393,-14.3478,-1.22927
138,390,-13.0435,-1.18537
140,388,-12.5217,-1.1561
150,373,-9.91304,-0.936585
157,360,-8.08696,-0.746341
165,341,-6.0,-0.468293
174,324,-3.65217,-0.219512
182,309,-1.56522,0.0
189,292,0.26087,0.24878
197,278,2.34783,0.453659
205,261,4.43478,0.702439
212,245,6.26087,0.936585
221,229,8.6087,1.17073
228,214,10.4348,1.39024
236,203,12.5217,1.55122
244,193,14.6087,1.69756
252,187,16.6957,1.78537
257,194,18.0,1.68293
262,201,19.3043,1.58049
268,218,20.8696,1.33171
